DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Date
4022026,526143,6481,47765,7838,56807,82.69,526143,MPL PLASTICS LTD.,X,STK,8.51,8.51,6.52,7.37,7.54,7.43,89,7838,56807,,2026-02-04
4022026,526159,15535,1078906,16961,1179453,91.59,526159,NIKHIL ADHESIVES LTD.,X,STK,69.6,69.6,69.01,69.45,69.4,69.56,125,16961,1179453,,2026-02-04
4022026,526161,674,57290,690,59603,97.68,526161,SPENTA INTERNATIONAL LTD.,X,STK,78.7,90.0,78.7,85.0,85.0,80.97,14,690,59603,,2026-02-04
4022026,526169,3809,837790,5598,1240161,68.04,526169,MULTIBASE INDIA LTD.,X,STK,223.1,225.95,216.6,219.95,220.0,218.2,158,5598,1240161,,2026-02-04
4022026,526173,35507,778314,58314,1269611,60.89,526173,ANDREW YULE & COMPANY LTD.,B,STK,21.75,22.14,21.2,21.92,21.92,21.75,356,58314,1269611,,2026-02-04
4022026,526179,7755,1810405,9333,2156303,83.09,526179,LUDLOW JUTE & SPECIALITIES LTD,X,STK,233.45,233.45,212.6,233.45,233.45,222.35,175,9333,2156303,,2026-02-04
4022026,526187,200,888,200,888,100.0,526187,ASHRAM ONLINE.COM LTD.,X,STK,4.44,4.44,4.44,4.44,4.44,4.23,1,200,888,,2026-02-04
4022026,526193,417,9033,421,9184,99.05,526193,ROYAL CUSHION VINYL PRODUCTS L,X,STK,21.99,21.99,20.12,21.66,21.83,21.78,8,421,9184,,2026-02-04
4022026,526211,10182,535676,19631,1011631,51.87,526211,SURAJ INDUSTRIES LTD.,X,STK,50.0,52.9,48.5,52.61,51.0,50.81,192,19631,1011631,,2026-02-04
4022026,526217,80,12716,82,12779,97.56,526217,Hitech Corporation Limited,B,STK,153.6,158.95,150.0,158.95,158.95,157.5,8,82,12779,,2026-02-04
4022026,526225,2,23,2,23,100.0,526225,BLOOM DEKOR LTD.,XT,STK,11.97,11.98,11.97,11.98,11.98,11.98,2,2,23,,2026-02-04
4022026,526227,58510,2913798,98842,4850018,59.2,526227,FILATEX INDIA LTD.,B,STK,48.97,50.5,47.58,49.8,49.65,48.22,571,98842,4850018,,2026-02-04
4022026,526231,100,5359,104,4941,96.15,526231,STANDARD SURFACTANTS LTD.,X,STK,49.35,53.59,47.34,53.59,53.59,52.75,7,104,4941,,2026-02-04
4022026,526237,1081,75670,1222,85330,88.46,526237,MORGAN VENTURES LTD.,X,STK,71.0,71.0,68.31,70.0,70.0,69.85,61,1222,85330,,2026-02-04
4022026,526241,1869,25232,2140,29072,87.34,526241,AMRAPALI INDUSTRIES LTD.,X,STK,13.93,13.93,13.35,13.5,13.68,13.44,23,2140,29072,,2026-02-04
4022026,526247,4821,2375789,10404,5133482,46.34,526247,PREMIER EXPLOSIVES LTD.,A,STK,522.55,522.55,488.4,492.8,492.75,492.3,460,10404,5133482,,2026-02-04
4022026,526251,1693,27258,1697,27599,99.76,526251,MID EAST PORTFOLIO MANAGEMENT,X,STK,16.17,17.75,16.0,16.1,16.1,16.25,9,1697,27599,,2026-02-04
4022026,526263,1713,232968,2021,273213,84.76,526263,MOLD-TEK TECHNOLOGIES LTD.,B,STK,135.0,136.0,133.25,136.0,136.0,134.5,101,2021,273213,,2026-02-04
4022026,526269,1386,133431,1746,166484,79.38,526269,CRESTCHEM LTD.,X,STK,94.76,99.0,93.0,96.27,95.0,89.76,82,1746,166484,,2026-02-04
4022026,526299,11857,31889995,20362,54279016,58.23,526299,MPHASIS LTD.,A,STK,2779.95,2779.95,2615.7,2689.55,2689.55,2820.3,4957,20362,54279016,,2026-02-04
4022026,526315,372,19716,372,19618,100.0,526315,DIVYASHAKTI LIMITED,X,STK,52.49,53.0,52.49,53.0,53.0,52.49,5,372,19618,,2026-02-04
